season,basin,storm,type,satellite,resolution,image
tc98,IO,07B.NONAME,ssmi,gmsir2,none,1919981123.1210.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981119.0202.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,19981119.0329.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,1919981121.1407.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,1919981121.2326.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,1919981122.0121.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,1919981122.0252.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,1919981122.1224.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,1919981123.0108.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,1919981123.0239.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir,none,1919981123.1210.ssmi.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,1919981121.1407.f14.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,1919981121.2326.f13.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,1919981122.0121.f11.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,1919981122.0252.f14.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,1919981122.1224.f11.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,1919981123.0108.f11.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,1919981123.0239.f14.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,1919981123.1210.f11.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,composite,none,19981119.0202.f11.multisensor.x.NONAME.x.jpg
